역사코드,역명,호선,환승역수,latitude,longitude
228,서울대입구역,2,1,37.4812845080678,126.952713197762
229,봉천역,2,1,37.4824725161034,126.941686527151
230,신림역,2,1,37.484267135140364,126.9297453749671
231,신대방역,2,1,37.48765046104574,126.91350747615147
232,구로디지털단지역,2,1,37.4852605752505,126.901473080039
233,대림역,2,2,37.4933099444417,126.894931036051
2746,대림역,7,2,37.4933099444417,126.894931036051
234,신도림역,2,1,37.508908482648,126.891312500851
235,문래역,2,1,37.5179757181801,126.894778820701
236,영등포구청역,2,2,37.5258305311402,126.89667739939
2524,영등포구청역,5,2,37.5258305311402,126.89667739939
237,당산역,2,1,37.5347843171332,126.902611795523
238,합정역,2,2,37.54991315995173,126.91445406513526
2623,합정역,6,2,37.54991315995173,126.91445406513526
239,홍대입구역,2,1,37.5568707448873,126.923778562273
240,신촌역,2,1,37.555198169366435,126.93698075993808
241,이대역,2,1,37.556814718869,126.94642954546576
242,아현역,2,1,37.55740617797663,126.95614644008904
243,충정로역,2,2,37.55976328822766,126.96449207476172
2532,충정로역,5,2,37.55976328822766,126.96449207476172
244,용답역,2,1,37.562122776762756,127.05088954367504
245,신답역,2,1,37.5698386846442,127.047080117369
247,도림천역,2,1,37.5145080414761,126.882649092584
248,양천구청역,2,1,37.5123888716808,126.865722369229
249,신정네거리역,2,1,37.5202231231721,126.852889567642
250,용두역,2,1,37.5740621283646,127.038275698211
309,지축역,3,1,37.6481486423031,126.913854269202
310,구파발역,3,1,37.6364357889145,126.918852820009
311,연신내역,3,2,37.6192032466353,126.921100704496
2615,연신내역,6,2,37.6192032466353,126.921100704496
312,불광역,3,2,37.6100477979795,126.930315826401
2613,불광역,6,2,37.6100477979795,126.930315826401
313,녹번역,3,1,37.6008067681825,126.935828008217
314,홍제역,3,1,37.5887953806088,126.944158007985
315,무악재역,3,1,37.5825632263526,126.950230954136
316,독립문역,3,1,37.57446627898665,126.95791371132584
317,경복궁역,3,1,37.5758061234865,126.973691352767
318,안국역,3,1,37.57650192060523,126.98542143228659
322,동대입구역,3,1,37.55905581925076,127.00531600900922
323,약수역,3,2,37.5545053994984,127.010891666957
2634,약수역,6,2,37.5545053994984,127.010891666957
324,금호역,3,1,37.548260922874086,127.01582916945283
325,옥수역,3,1,37.5415662783673,127.017393782846
326,압구정역,3,1,37.52649127416921,127.02850865895756
327,신사역,3,1,37.51643597531432,127.02030856272764
328,잠원역,3,1,37.5128899169357,127.011419491429
329,고속터미널역,3,2,37.50454885557265,127.00512100872538
2736,고속터미널역,7,2,37.50454885557265,127.00512100872538
331,남부터미널역,3,1,37.4851996335293,127.01620028391
332,양재역,3,1,37.48457681195669,127.03416413380752
333,매봉역,3,1,37.4869394661317,127.046711448388
334,도곡역,3,1,37.49097398162934,127.05549883514037
335,대치역,3,1,37.4944966528582,127.063203409529
336,학여울역,3,1,37.4968851977644,127.071166599707
337,대청역,3,1,37.49370832148055,127.07952812085006
338,일원역,3,1,37.4839886684666,127.084129757128
339,수서역,3,1,37.4852951142482,127.104469788175
340,가락시장역,3,2,37.4930992522183,127.118262745146
2818,가락시장역,8,2,37.4930992522183,127.118262745146
341,경찰병원역,3,1,37.4960049150853,127.124482397777
342,오금역,3,2,37.5021388575469,127.127953219596
2558,오금역,5,2,37.5021388575469,127.127953219596
409,당고개역,4,1,37.6702168353314,127.079066619316
410,상계역,4,1,37.660720544722,127.073421632239
411,노원역,4,2,37.6563403513278,127.063449137455
2715,노원역,7,2,37.6563403513278,127.063449137455
412,창동역,4,1,37.6533385121404,127.047644999036
413,쌍문역,4,1,37.6485426057036,127.03465609756
414,수유역,4,1,37.63788539420793,127.02550910860451
415,미아역,4,1,37.6266544891889,127.026041090189
416,미아사거리역,4,1,37.61327836400571,127.03008663628454
417,길음역,4,1,37.603394782316634,127.02506019737066
418,성신여대입구역,4,1,37.59296812939267,127.0171260607647
419,한성대입구역,4,1,37.58842461354086,127.00601781685579
420,혜화역,4,1,37.58204391787134,127.00194500977393
423,충무로역,4,2,37.5613965840169,126.994150735779
321,충무로역,3,2,37.5613965840169,126.994150735779
424,명동역,4,1,37.56096526943837,126.98640235001736
425,회현역,4,1,37.55876114587941,126.9784372569283
427,숙대입구역,4,1,37.5445952301115,126.972118127373
428,삼각지역,4,2,37.5344393447708,126.972922951307
2629,삼각지역,6,2,37.5344393447708,126.972922951307
429,신용산역,4,1,37.5292591489375,126.967965039183
430,이촌역,4,1,37.52241291408466,126.97354382085399
431,동작역,4,1,37.50297957674478,126.9803148383829
432,총신대입구역,4,1,37.4867995957995,126.982211871752
434,남태령역,4,1,37.4642499558525,126.989085267707
2511,방화역,5,1,37.5776031994404,126.812819296675
2512,개화산역,5,1,37.5725371505293,126.806814314979
2513,김포공항역,5,1,37.56196757232288,126.80191361988808
2514,송정역,5,1,37.5611612387718,126.812430347154
2515,마곡역,5,1,37.56022863776301,126.82469691791624
2516,발산역,5,1,37.558677743241596,126.83773640693936
2517,우장산역,5,1,37.54881618721654,126.83632627213518
2518,화곡역,5,1,37.5416507925709,126.840455026335
2519,까치산역,5,1,37.5322306724471,126.846444264065
2520,신정역,5,1,37.5250276134139,126.856097474225
2521,목동역,5,1,37.526135115923466,126.86462527157516
2522,오목교역,5,1,37.5245340839144,126.875307312696
2523,양평역,5,1,37.5255796429707,126.886419282885
2525,영등포시장역,5,1,37.522709383885,126.905179566968
2526,신길역,5,1,37.51678703217714,126.91836721069228
2527,여의도역,5,1,37.5211700890445,126.92466104293
2528,여의나루역,5,1,37.5271469489465,126.93298596744
2529,마포역,5,1,37.53955402908912,126.94586257221307
2530,공덕역,5,2,37.5445416897534,126.951451177648
2627,공덕역,6,2,37.5445416897534,126.951451177648
2531,애오개역,5,1,37.5534131497489,126.956669363197
2533,서대문역,5,1,37.56575193662503,126.96663755850754
2534,광화문역,5,1,37.57164860977568,126.97642427981408
2538,청구역,5,2,37.5602101936978,127.013943845279
2635,청구역,6,2,37.5602101936978,127.013943845279
2539,신금호역,5,1,37.55447619249223,127.02049316578315
2540,행당역,5,1,37.5573637818732,127.029511840513
2542,마장역,5,1,37.5661389565959,127.042984855663
2543,답십리역,5,1,37.56697480965114,127.05256127651293
2544,장한평역,5,1,37.5616038910656,127.06370373106944
2545,군자역,5,2,37.557151488837924,127.0795106156054
2727,군자역,7,2,37.557151488837924,127.0795106156054
2546,아차산역,5,1,37.55224917071854,127.08956495447913
2547,광나루역,5,1,37.5452991715677,127.103521464507
2548,천호역,5,2,37.5385112120297,127.12392845044
2812,천호역,8,2,37.5385112120297,127.12392845044
2549,강동역,5,1,37.5358819145235,127.132396300314
2550,길동역,5,1,37.5378264874159,127.140021295948
2551,굽은다리역,5,1,37.54551759022203,127.14288387331297
2552,명일역,5,1,37.5513978958277,127.14404374474
2553,고덕역,5,1,37.55504766830918,127.15416500963447
2554,상일동역,5,1,37.5566778757215,127.165905758209
2555,둔촌동역,5,1,37.52765684247226,127.13621464981398
2556,올림픽공원역,5,1,37.5163389870117,127.130963675401
2557,방이역,5,1,37.5087506251989,127.126096046986
2559,개롱역,5,1,37.497968278388235,127.13507959838425
2560,거여역,5,1,37.4933304500736,127.143773841911
2561,마천역,5,1,37.4950381629493,127.152859864985
2562,강일역,5,1,37.5574259795986,127.175680183486
2563,미사역,5,1,37.562991348199,127.192490980441
2564,하남풍산역,5,1,37.5522898049699,127.204006631381
2565,하남시청역,5,1,37.5419775122576,127.206298162203
2566,하남검단산역,5,1,37.5398032640088,127.223219337317
2611,응암역,6,1,37.5984928632876,126.9155399209037
2612,역촌역,6,1,37.60622745935512,126.9228437430386
2614,독바위역,6,1,37.6184141599944,126.933053652461
2616,구산역,6,1,37.61124669148435,126.91725947715172
2617,새절역,6,1,37.5908600479967,126.913580663181
2618,증산역,6,1,37.583746353282,126.909494991105
2619,디지털미디어시티역,6,1,37.57601374718818,126.90127778415635
2620,월드컵경기장역,6,1,37.5696355653344,126.899098148061
2621,마포구청역,6,1,37.5634871865932,126.903425598797
2622,망원역,6,1,37.5560826563712,126.910094329982
2624,상수역,6,1,37.54776618366393,126.92242989321456
2625,광흥창역,6,1,37.54748648317645,126.93202965599583
2626,대흥역,6,1,37.5476479056751,126.942473188734
2628,효창공원앞역,6,1,37.5393087503306,126.96139810075
2630,녹사평역,6,1,37.5347227952064,126.9865496751
2631,이태원역,6,1,37.5345252050511,126.994333861918
2632,한강진역,6,1,37.5397907743775,127.001765135176
2633,버티고개역,6,1,37.5478275106099,127.006730866101
2638,창신역,6,1,37.57941474393655,127.01529688465331
2639,보문역,6,1,37.585541696968,127.020003515933
2640,안암역,6,1,37.586307417971,127.029233420248
2641,고려대역,6,1,37.59044191064368,127.03630828564728
2642,월곡역,6,1,37.6018044172918,127.041460725816
2643,상월곡역,6,1,37.6065588265169,127.048829192974
2644,돌곶이역,6,1,37.61054501416126,127.0564381246322
2645,석계역,6,1,37.61500552731744,127.06568946412851
2646,태릉입구역,6,2,37.618459513199,127.075405300578
2719,태릉입구역,7,2,37.618459513199,127.075405300578
2647,화랑대역,6,1,37.61984245540276,127.08354181123269
2648,봉화산역,6,1,37.617350836302734,127.09136011564394
2711,장암역,7,1,37.699956566426,127.052818310578
2712,도봉산역,7,1,37.68951167833238,127.04606271663916
2713,수락산역,7,1,37.6778814656816,127.055350968781
2714,마들역,7,1,37.6652017465321,127.057712619869
2716,중계역,7,1,37.6450921230569,127.06411035896
2717,하계역,7,1,37.6364765391858,127.067991278758
2718,공릉역,7,1,37.6255427648558,127.073033585328
2720,먹골역,7,1,37.6106193846197,127.077762187968
2721,중화역,7,1,37.6025526943256,127.079312037122
2722,상봉역,7,1,37.5967097755022,127.085746686941
2723,면목역,7,1,37.5887148877725,127.087503803859
2724,사가정역,7,1,37.5809403751459,127.088504554212
2725,용마산역,7,1,37.57366797492471,127.08671982507775
2726,중곡역,7,1,37.56592206115955,127.08431236632154
2728,어린이대공원역,7,1,37.54796087622509,127.07465525507352
2730,뚝섬유원지역,7,1,37.53155927720518,127.06679509976304
2731,청담역,7,1,37.519455579961,127.053717937903
2732,강남구청역,7,1,37.51721617197854,127.0413109462156
2733,학동역,7,1,37.51434578734927,127.03190190063152
2734,논현역,7,1,37.51120000205266,127.02165424259898
2735,반포역,7,1,37.5081614290284,127.011586161943
2737,내방역,7,1,37.4876585212369,126.993600180589
2738,이수역,7,1,37.4867995957995,126.982211871752
2739,남성역,7,1,37.484793511299706,126.97091020065321
2740,숭실대입구역,7,1,37.4963172817574,126.953621963422
2741,상도역,7,1,37.5028706251049,126.947917975554
2742,장승배기역,7,1,37.5048990621814,126.939072381356
2743,신대방삼거리역,7,1,37.499757228908564,126.92821094566965
2744,보라매역,7,1,37.49992085496506,126.92061230710924
2745,신풍역,7,1,37.5001229935524,126.90975434386
2747,남구로역,7,1,37.48625714438263,126.88741505160269
2748,가산디지털단지역,7,1,37.4803959660982,126.882661758356
2749,철산역,7,1,37.4761928424537,126.868211027014
2750,광명사거리역,7,1,37.4792983082726,126.854873735158
2751,천왕역,7,1,37.48685558277736,126.83860534807998
2752,온수역,7,1,37.4919675365056,126.823847928009
2811,암사역,8,1,37.55015818096496,127.12754072968517
2813,강동구청역,8,1,37.5302111983522,127.12044373032
2814,몽촌토성역,8,1,37.5178055794687,127.11286534895457
2816,석촌역,8,1,37.5054141216925,127.107004062699
2817,송파역,8,1,37.4997149535067,127.112193506363
2819,문정역,8,1,37.4860310539381,127.122484886901
2820,장지역,8,1,37.4786316933099,127.12617656737
2821,복정역,8,1,37.47074367341675,127.12672175187316
2822,산성역,8,1,37.456881468719025,127.14994186233623
2823,남한산성입구역,8,1,37.4516686968693,127.159882577768
2824,단대오거리역,8,1,37.44502248894697,127.156769790167
2825,신흥역,8,1,37.4409230460675,127.147538132656
2826,수진역,8,1,37.4373779787206,127.140534508419
2827,모란역,8,1,37.4340382896277,127.129970457799
2828,남위례역,8,1,37.4627230752808,127.139350997519
2649,신내역,6,1,37.6124910157349,127.104271439503
2758,상동역,7,1,37.50578860265,126.753192450274
2761,부평구청역,7,1,37.50743350044892,126.72143971800028
2753,까치울역,7,1,37.506227351130065,126.81133962285816
2757,부천시청역,7,1,37.50465563053715,126.76401384887843
