역코드,호선,역이름
2823,8호선호선,남한산성입구(성남법원.검찰청)
2824,8호선호선,단대오거리
2825,8호선호선,신흥
2826,8호선호선,수진
2827,8호선호선,모란
2828,8호선호선,남위례
2649,6호선호선,신내
2758,7호선호선,상동
2761,7호선호선,부평구청
2753,7호선호선,까치울
2757,7호선호선,부천시청
