,역명,고유역번호(외부역코드),승하차구분,역_이름코드
82,양재(서초구청),332,승차,양재(서초구청)_332
83,매봉,333,승차,매봉_333
84,도곡,334,승차,도곡_334
85,대치,335,승차,대치_335
86,학여울,336,승차,학여울_336
87,대청,337,승차,대청_337
88,일원,338,승차,일원_338
89,수서,339,승차,수서_339
90,가락시장,340,승차,가락시장_340
91,경찰병원,341,승차,경찰병원_341
92,오금,342,승차,오금_342
93,당고개,409,승차,당고개_409
94,상계,410,승차,상계_410
95,노원,411,승차,노원_411
96,창동,412,승차,창동_412
97,쌍문,413,승차,쌍문_413
98,수유(강북구청),414,승차,수유(강북구청)_414
99,미아(서울사이버대학),415,승차,미아(서울사이버대학)_415
100,미아사거리,416,승차,미아사거리_416
101,길음,417,승차,길음_417
102,성신여대입구(돈암),418,승차,성신여대입구(돈암)_418
103,한성대입구(삼선교),419,승차,한성대입구(삼선교)_419
104,혜화,420,승차,혜화_420
105,동대문,421,승차,동대문_421
106,동대문역사문화공원(DDP),422,승차,동대문역사문화공원(DDP)_422
107,충무로,423,승차,충무로_423
108,명동,424,승차,명동_424
109,회현(남대문시장),425,승차,회현(남대문시장)_425
110,서울역,426,승차,서울역_426
111,숙대입구(갈월),427,승차,숙대입구(갈월)_427
112,삼각지,428,승차,삼각지_428
113,신용산,429,승차,신용산_429
114,이촌(국립중앙박물관),430,승차,이촌(국립중앙박물관)_430
115,동작(현충원),431,승차,동작(현충원)_431
116,총신대입구(이수),432,승차,총신대입구(이수)_432
117,사당,433,승차,사당_433
118,남태령,434,승차,남태령_434
119,방화,2511,승차,방화_2511
120,개화산,2512,승차,개화산_2512
121,김포공항,2513,승차,김포공항_2513
122,송정,2514,승차,송정_2514
123,마곡,2515,승차,마곡_2515
124,발산,2516,승차,발산_2516
125,우장산,2517,승차,우장산_2517
126,화곡,2518,승차,화곡_2518
127,까치산,2519,승차,까치산_2519
128,신정(은행정),2520,승차,신정(은행정)_2520
129,목동,2521,승차,목동_2521
130,오목교(목동운동장앞),2522,승차,오목교(목동운동장앞)_2522
131,양평,2523,승차,양평_2523
132,영등포구청,2524,승차,영등포구청_2524
133,영등포시장,2525,승차,영등포시장_2525
134,신길,2526,승차,신길_2526
135,여의도,2527,승차,여의도_2527
136,여의나루,2528,승차,여의나루_2528
137,마포,2529,승차,마포_2529
138,공덕,2530,승차,공덕_2530
139,애오개,2531,승차,애오개_2531
140,충정로(경기대입구),2532,승차,충정로(경기대입구)_2532
141,서대문,2533,승차,서대문_2533
142,광화문(세종문화회관),2534,승차,광화문(세종문화회관)_2534
143,종로3가,2535,승차,종로3가_2535
144,을지로4가,2536,승차,을지로4가_2536
145,동대문역사문화공원(DDP),2537,승차,동대문역사문화공원(DDP)_2537
146,청구,2538,승차,청구_2538
147,신금호,2539,승차,신금호_2539
148,행당,2540,승차,행당_2540
149,왕십리(성동구청),2541,승차,왕십리(성동구청)_2541
150,마장,2542,승차,마장_2542
151,답십리,2543,승차,답십리_2543
152,장한평,2544,승차,장한평_2544
153,군자(능동),2545,승차,군자(능동)_2545
154,아차산(어린이대공원후문),2546,승차,아차산(어린이대공원후문)_2546
155,광나루(장신대),2547,승차,광나루(장신대)_2547
156,천호(풍납토성),2548,승차,천호(풍납토성)_2548
157,강동,2549,승차,강동_2549
158,길동,2550,승차,길동_2550
159,굽은다리(강동구민회관앞),2551,승차,굽은다리(강동구민회관앞)_2551
160,명일,2552,승차,명일_2552
161,고덕,2553,승차,고덕_2553
162,상일동,2554,승차,상일동_2554
163,둔촌동,2555,승차,둔촌동_2555
164,올림픽공원(한국체대),2556,승차,올림픽공원(한국체대)_2556
165,방이,2557,승차,방이_2557
166,오금,2558,승차,오금_2558
167,개롱,2559,승차,개롱_2559
168,거여,2560,승차,거여_2560
169,마천,2561,승차,마천_2561
170,강일,2562,승차,강일_2562
171,미사,2563,승차,미사_2563
172,하남풍산,2564,승차,하남풍산_2564
173,하남시청(덕풍·신장),2565,승차,하남시청(덕풍·신장)_2565
174,하남검단산,2566,승차,하남검단산_2566
175,응암,2611,승차,응암_2611
176,역촌,2612,승차,역촌_2612
177,불광,2613,승차,불광_2613
178,독바위,2614,승차,독바위_2614
179,구산,2616,승차,구산_2616
180,새절(신사),2617,승차,새절(신사)_2617
181,증산(명지대앞),2618,승차,증산(명지대앞)_2618
182,디지털미디어시티,2619,승차,디지털미디어시티_2619
183,월드컵경기장(성산),2620,승차,월드컵경기장(성산)_2620
184,마포구청,2621,승차,마포구청_2621
185,망원,2622,승차,망원_2622
186,합정,2623,승차,합정_2623
187,상수,2624,승차,상수_2624
188,광흥창(서강),2625,승차,광흥창(서강)_2625
189,대흥(서강대앞),2626,승차,대흥(서강대앞)_2626
190,공덕,2627,승차,공덕_2627
191,효창공원앞,2628,승차,효창공원앞_2628
192,삼각지,2629,승차,삼각지_2629
193,녹사평(용산구청),2630,승차,녹사평(용산구청)_2630
194,이태원,2631,승차,이태원_2631
195,한강진,2632,승차,한강진_2632
196,버티고개,2633,승차,버티고개_2633
197,약수,2634,승차,약수_2634
198,청구,2635,승차,청구_2635
199,신당,2636,승차,신당_2636
200,동묘앞,2637,승차,동묘앞_2637
201,창신,2638,승차,창신_2638
202,보문,2639,승차,보문_2639
203,안암(고대병원앞),2640,승차,안암(고대병원앞)_2640
204,고려대(종암),2641,승차,고려대(종암)_2641
205,월곡(동덕여대),2642,승차,월곡(동덕여대)_2642
206,상월곡(한국과학기술연구원),2643,승차,상월곡(한국과학기술연구원)_2643
207,돌곶이,2644,승차,돌곶이_2644
208,석계,2645,승차,석계_2645
209,태릉입구,2646,승차,태릉입구_2646
210,화랑대(서울여대입구),2647,승차,화랑대(서울여대입구)_2647
211,봉화산(서울의료원),2648,승차,봉화산(서울의료원)_2648
212,장암,2711,승차,장암_2711
213,도봉산,2712,승차,도봉산_2712
214,수락산,2713,승차,수락산_2713
215,마들,2714,승차,마들_2714
216,노원,2715,승차,노원_2715
217,중계,2716,승차,중계_2716
218,하계,2717,승차,하계_2717
219,공릉(서울과학기술대),2718,승차,공릉(서울과학기술대)_2718
220,태릉입구,2719,승차,태릉입구_2719
221,먹골,2720,승차,먹골_2720
222,중화,2721,승차,중화_2721
223,상봉(시외버스터미널),2722,승차,상봉(시외버스터미널)_2722
224,면목,2723,승차,면목_2723
225,사가정,2724,승차,사가정_2724
226,용마산(용마폭포공원),2725,승차,용마산(용마폭포공원)_2725
227,중곡,2726,승차,중곡_2726
228,군자(능동),2727,승차,군자(능동)_2727
229,어린이대공원(세종대),2728,승차,어린이대공원(세종대)_2728
230,건대입구,2729,승차,건대입구_2729
231,뚝섬유원지,2730,승차,뚝섬유원지_2730
232,청담,2731,승차,청담_2731
233,강남구청,2732,승차,강남구청_2732
234,학동,2733,승차,학동_2733
235,논현,2734,승차,논현_2734
236,반포,2735,승차,반포_2735
237,고속터미널,2736,승차,고속터미널_2736
238,내방,2737,승차,내방_2737
239,이수,2738,승차,이수_2738
240,남성,2739,승차,남성_2739
241,숭실대입구(살피재),2740,승차,숭실대입구(살피재)_2740
242,상도,2741,승차,상도_2741
243,장승배기,2742,승차,장승배기_2742
244,신대방삼거리,2743,승차,신대방삼거리_2743
245,보라매,2744,승차,보라매_2744
246,신풍,2745,승차,신풍_2745
247,대림(구로구청),2746,승차,대림(구로구청)_2746
248,남구로,2747,승차,남구로_2747
249,가산디지털단지,2748,승차,가산디지털단지_2748
250,철산,2749,승차,철산_2749
251,광명사거리,2750,승차,광명사거리_2750
252,천왕,2751,승차,천왕_2751
253,온수(성공회대입구),2752,승차,온수(성공회대입구)_2752
254,암사,2811,승차,암사_2811
255,천호(풍납토성),2812,승차,천호(풍납토성)_2812
256,강동구청,2813,승차,강동구청_2813
257,몽촌토성(평화의문),2814,승차,몽촌토성(평화의문)_2814
258,잠실(송파구청),2815,승차,잠실(송파구청)_2815
259,석촌,2816,승차,석촌_2816
260,송파,2817,승차,송파_2817
261,가락시장,2818,승차,가락시장_2818
262,문정,2819,승차,문정_2819
263,장지,2820,승차,장지_2820
264,복정,2821,승차,복정_2821
265,산성,2822,승차,산성_2822
266,남한산성입구(성남법원.검찰청),2823,승차,남한산성입구(성남법원.검찰청)_2823
267,단대오거리,2824,승차,단대오거리_2824
268,신흥,2825,승차,신흥_2825
269,수진,2826,승차,수진_2826
270,모란,2827,승차,모란_2827
271,남위례,2828,승차,남위례_2828
